gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM
0021500030,1610612745,Houston,Rockets,HOU,rockets,1891,Jason,Terry,J. Terry,jason-terry,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500030,1610612745,Houston,Rockets,HOU,rockets,201977,Marcus,Thornton,M. Thornton,marcus-thornton,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,2207,Joe,Johnson,J. Johnson,joe-johnson,F,,,25:14,0.857,0.143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,201152,Thaddeus,Young,T. Young,thaddeus-young,F,,,28:25,0.818,0.182,0.667,0.0,0.333,0.0,0.0,0.222,0.667,0.667,0.333,1.0,0.0,0.75,0.25
0021500028,1610612751,Brooklyn,Nets,BKN,nets,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,31:59,1.0,0.0,0.706,0.353,0.0,0.0,0.294,0.118,0.353,0.333,0.667,0.0,0.0,0.333,0.667
0021500028,1610612751,Brooklyn,Nets,BKN,nets,201961,Wayne,Ellington,W. Ellington,wayne-ellington,G,,,18:16,0.333,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,101127,Jarrett,Jack,J. Jack,jarrett-jack,G,,,26:57,0.769,0.231,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.333,0.667,0.5,0.5,0.4,0.6
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203499,Shane,Larkin,S. Larkin,shane-larkin,,,,16:26,1.0,0.0,0.857,0.571,0.0,0.0,0.143,0.0,0.286,0.0,1.0,0.0,0.0,0.0,1.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,202711,Bojan,Bogdanovic,B. Bogdanovic,bojan-bogdanovic,,,,19:34,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.333,1.0,0.333,0.667,0.0,0.0,0.333,0.667
0021500028,1610612751,Brooklyn,Nets,BKN,nets,1626178,Rondae,Hollis-Jefferson,R. Hollis-Jefferson,rondae-hollis-jefferson,,,,26:09,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.8,0.2,0.0,0.0,0.8,0.2
0021500028,1610612751,Brooklyn,Nets,BKN,nets,200745,Andrea,Bargnani,A. Bargnani,andrea-bargnani,,,,16:18,0.75,0.25,0.4,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203080,Thomas,Robinson,T. Robinson,thomas-robinson,,,,15:20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203900,Markel,Brown,M. Brown,markel-brown,,,,8:24,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,202388,Donald,Sloan,D. Sloan,donald-sloan,,,,4:37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203508,Sergey,Karasev,S. Karasev,sergey-karasev,,,,2:21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,202695,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,25:47,0.875,0.125,0.75,0.375,0.0,0.125,0.25,0.375,0.375,0.667,0.333,0.0,0.0,0.667,0.333
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,200746,LaMarcus,Aldridge,L. Aldridge,lamarcus-aldridge,F,,,29:33,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,1495,Tim,Duncan,T. Duncan,tim-duncan,C,,,29:04,1.0,0.0,0.533,0.133,0.0,0.0,0.467,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,201980,Danny,Green,D. Green,danny-green,G,,,26:33,0.167,0.833,0.25,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.667,0.333
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2225,Tony,Parker,T. Parker,tony-parker,G,,,23:46,1.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.4,0.2,0.8,0.0,0.0,0.2,0.8
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,201988,Patty,Mills,P. Mills,patty-mills,,,,18:24,0.167,0.833,0.182,0.0,0.818,0.0,0.0,0.273,0.182,0.0,1.0,1.0,0.0,0.75,0.25
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,1938,Manu,Ginobili,M. Ginobili,manu-ginobili,,,,21:37,0.5,0.5,0.5,0.0,0.5,0.167,0.0,0.0,0.5,0.333,0.667,1.0,0.0,0.6,0.4
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2564,Boris,Diaw,B. Diaw,boris-diaw,,,,18:43,0.8,0.2,0.571,0.286,0.429,0.0,0.0,0.429,0.286,1.0,0.0,1.0,0.0,1.0,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,203937,Kyle,Anderson,K. Anderson,kyle-anderson,,,,10:53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2561,David,West,D. West,david-west,,,,14:03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2446,Rasual,Butler,R. Butler,rasual-butler,,,,11:10,0.25,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,203492,Ray,McCallum,R. McCallum,ray-mccallum,,,,5:50,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,1626246,Boban,Marjanovic,B. Marjanovic,boban-marjanovic,,,,4:37,1.0,0.0,0.667,0.333,0.0,0.0,0.333,0.0,0.333,0.0,1.0,0.0,0.0,0.0,1.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,2419,Tayshaun,Prince,T. Prince,tayshaun-prince,F,,,29:20,0.333,0.667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,708,Kevin,Garnett,K. Garnett,kevin-garnett,F,,,22:19,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1626157,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,C,,,33:12,1.0,0.0,0.786,0.286,0.0,0.179,0.214,0.179,0.5,0.818,0.182,0.0,0.0,0.818,0.182
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203952,Andrew,Wiggins,A. Wiggins,andrew-wiggins,G,,,30:41,0.923,0.077,0.556,0.111,0.0,0.0,0.444,0.278,0.444,0.2,0.8,0.0,0.0,0.2,0.8
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,201937,Ricky,Rubio,R. Rubio,ricky-rubio,G,,,30:24,0.75,0.25,0.333,0.167,0.0,0.0,0.667,0.0,0.167,0.5,0.5,0.0,0.0,0.5,0.5
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,202357,Nemanja,Bjelica,N. Bjelica,nemanja-bjelica,,,,25:41,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,2755,Kevin,Martin,K. Martin,kevin-martin,,,,21:20,0.778,0.222,0.429,0.143,0.214,0.214,0.357,0.286,0.286,1.0,0.0,1.0,0.0,1.0,0.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203498,Shabazz,Muhammad,S. Muhammad,shabazz-muhammad,,,,16:11,0.6,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203476,Gorgui,Dieng,G. Dieng,gorgui-dieng,,,,13:16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203897,Zach,LaVine,Z. LaVine,zach-lavine,,,,17:36,0.833,0.167,0.6,0.2,0.0,0.2,0.4,0.2,0.4,0.0,1.0,0.0,0.0,0.0,1.0
