GAME_ID,TEAM_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,MINUTES_PLAYED,OPP_TEAM_ID,OPP_GAME_DATE,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_STL,OPP_BLK,OPP_TO,OPP_PF,OPP_PTS,OPP_PLUS_MINUS,OPP_MINUTES_PLAYED,MATCHUP,SEASON,IS_HOME,IS_WIN,POINT_DIFF,ROLL_HOME_WINRATE_3,ROLL_AWAY_WINRATE_3,ROLL_HOME_WINRATE_5,ROLL_AWAY_WINRATE_5,ROLL_HOME_WINRATE_10,ROLL_AWAY_WINRATE_10,ROLL_HOME_WINRATE_25,ROLL_AWAY_WINRATE_25,ROLL_HOME_WINRATE_50,ROLL_AWAY_WINRATE_50,ROLL_HOME_WINRATE_100,ROLL_AWAY_WINRATE_100,ROLL_HOME_WINRATE_200,ROLL_AWAY_WINRATE_200,ROLL_WIN_RATIO_3,ROLL_WIN_RATIO_5,ROLL_WIN_RATIO_10,ROLL_WIN_RATIO_25,ROLL_WIN_RATIO_50,ROLL_WIN_RATIO_100,ROLL_WIN_RATIO_200,WIN_STREAK,HOME_WIN_STREAK,AWAY_WIN_STREAK,DAYS_SINCE_LAST_GAME,OPP_DAYS_SINCE_LAST_GAME,REST_ADVANTAGE,ROLL_HOME_REST_ADV_3,ROLL_AWAY_REST_ADV_3,ROLL_HOME_REST_ADV_5,ROLL_AWAY_REST_ADV_5,ROLL_HOME_REST_ADV_10,ROLL_AWAY_REST_ADV_10,ROLL_HOME_REST_ADV_25,ROLL_AWAY_REST_ADV_25,ROLL_HOME_REST_ADV_50,ROLL_AWAY_REST_ADV_50,ROLL_HOME_REST_ADV_100,ROLL_AWAY_REST_ADV_100,ROLL_HOME_REST_ADV_200,ROLL_AWAY_REST_ADV_200,H2H_LAST_3_DIFF,H2H_LAST_3_WINRATE,H2H_LAST_3_COUNT,H2H_LAST_5_DIFF,H2H_LAST_5_WINRATE,H2H_LAST_5_COUNT,H2H_LAST_10_DIFF,H2H_LAST_10_WINRATE,H2H_LAST_10_COUNT,H2H_LAST_25_DIFF,H2H_LAST_25_WINRATE,H2H_LAST_25_COUNT,H2H_LAST_50_DIFF,H2H_LAST_50_WINRATE,H2H_LAST_50_COUNT,H2H_LAST_100_DIFF,H2H_LAST_100_WINRATE,H2H_LAST_100_COUNT,H2H_LAST_200_DIFF,H2H_LAST_200_WINRATE,H2H_LAST_200_COUNT,H2H_SEASON_WINS,H2H_SEASON_MATCHES,H2H_SEASON_WINRATE,H2H_WIN_STREAK,ELO_PRE,OPP_ELO_PRE,ELO_PRE_SEASON,OPP_ELO_PRE_SEASON
0020000006,1610612741,2000-10-31,52.0,134.0,6.09,12.0,16.0,7.334,46.0,58.0,7.5280000000000005,14.0,44.0,58.0,38.0,16.0,8.0,38.0,40.0,162.0,-190.0,480.0,1610612758,2000-10-31,80.0,146.0,10.416,10.0,26.0,3.666,30.0,38.0,13.0,10.0,64.0,74.0,58.0,24.0,12.0,34.0,46.0,200.0,190.0,480.0,CHI vs. SAC,2000-01,1,0,-38.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8871.0,8878.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000006,1610612758,2000-10-31,80.0,146.0,10.416,10.0,26.0,3.666,30.0,38.0,13.0,10.0,64.0,74.0,58.0,24.0,12.0,34.0,46.0,200.0,190.0,480.0,1610612741,2000-10-31,52.0,134.0,6.09,12.0,16.0,7.334,46.0,58.0,7.5280000000000005,14.0,44.0,58.0,38.0,16.0,8.0,38.0,40.0,162.0,-190.0,480.0,SAC @ CHI,2000-01,0,1,38.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8921.0,8928.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000007,1610612742,2000-10-31,70.0,176.0,6.2,18.0,50.0,2.8,36.0,54.0,9.5,40.0,64.0,104.0,44.0,18.0,18.0,34.0,52.0,194.0,40.0,480.0,1610612749,2000-10-31,66.0,166.0,7.204,12.0,38.0,2.524,42.0,52.0,9.2,34.0,68.0,102.0,32.0,12.0,14.0,36.0,54.0,186.0,-40.0,480.0,DAL vs. MIL,2000-01,1,1,8.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8824.0,8831.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000007,1610612749,2000-10-31,66.0,166.0,7.204,12.0,38.0,2.524,42.0,52.0,9.2,34.0,68.0,102.0,32.0,12.0,14.0,36.0,54.0,186.0,-40.0,480.0,1610612742,2000-10-31,70.0,176.0,6.2,18.0,50.0,2.8,36.0,54.0,9.5,40.0,64.0,104.0,44.0,18.0,18.0,34.0,52.0,194.0,40.0,480.0,MIL @ DAL,2000-01,0,0,-8.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8871.0,8878.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000008,1610612745,2000-10-31,68.0,148.0,7.966,4.0,18.0,0.8,56.0,80.0,10.016,22.0,54.0,76.0,36.0,18.0,14.0,36.0,34.0,196.0,-80.0,480.0,1610612750,2000-10-31,86.0,176.0,8.966,12.0,22.0,4.2,28.0,32.0,5.378,26.0,62.0,88.0,58.0,14.0,2.0,30.0,50.0,212.0,80.0,480.0,HOU vs. MIN,2000-01,1,0,-16.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8961.0,8968.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000008,1610612750,2000-10-31,86.0,176.0,8.966,12.0,22.0,4.2,28.0,32.0,5.378,26.0,62.0,88.0,58.0,14.0,2.0,30.0,50.0,212.0,80.0,480.0,1610612745,2000-10-31,68.0,148.0,7.966,4.0,18.0,0.8,56.0,80.0,10.016,22.0,54.0,76.0,36.0,18.0,14.0,36.0,34.0,196.0,-80.0,480.0,MIN @ HOU,2000-01,0,1,16.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8883.0,8890.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000009,1610612754,2000-10-31,72.0,160.0,8.034,8.0,34.0,2.11,18.0,26.0,4.5,18.0,52.0,70.0,38.0,10.0,8.0,32.0,64.0,170.0,-130.0,480.0,1610612759,2000-10-31,66.0,128.0,12.404,8.0,16.0,5.0,56.0,70.0,12.166,10.0,64.0,74.0,34.0,12.0,8.0,36.0,44.0,196.0,130.0,480.0,IND @ SAS,2000-01,0,0,-26.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8918.0,8925.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000009,1610612759,2000-10-31,66.0,128.0,12.404,8.0,16.0,5.0,56.0,70.0,12.166,10.0,64.0,74.0,34.0,12.0,8.0,36.0,44.0,196.0,130.0,480.0,1610612754,2000-10-31,72.0,160.0,8.034,8.0,34.0,2.11,18.0,26.0,4.5,18.0,52.0,70.0,38.0,10.0,8.0,32.0,64.0,170.0,-130.0,480.0,SAS vs. IND,2000-01,1,1,26.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8917.0,8924.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000010,1610612746,2000-10-31,68.0,138.0,10.248,8.0,26.0,3.166,44.0,68.0,10.5,24.0,64.0,88.0,36.0,6.0,12.0,48.0,64.0,188.0,-130.0,480.0,1610612762,2000-10-31,86.0,170.0,8.738,10.0,20.0,3.666,32.0,62.0,9.8,22.0,44.0,66.0,66.0,22.0,8.0,24.0,60.0,214.0,130.0,480.0,LAC @ UTA,2000-01,0,0,-26.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8919.0,8926.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
0020000010,1610612762,2000-10-31,86.0,170.0,8.738,10.0,20.0,3.666,32.0,62.0,9.8,22.0,44.0,66.0,66.0,22.0,8.0,24.0,60.0,214.0,130.0,480.0,1610612746,2000-10-31,68.0,138.0,10.248,8.0,26.0,3.166,44.0,68.0,10.5,24.0,64.0,88.0,36.0,6.0,12.0,48.0,64.0,188.0,-130.0,480.0,UTA vs. LAC,2000-01,1,1,26.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0,0,0,7.0,-8860.0,8867.0,,,,,,,,,,,,,,,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.0,0,1500.0,1500.0,1500.0,1500.0
