date,home_team,away_team,home_score,away_score,home_odds,away_odds,url,sport,tournament,season,handicap,comment
2017-06-13,Golden State Warriors,Cleveland Cavaliers,,129,1.26,4.05,https://www.oddsportal.com/basketball/usa/nba-2016-2017/golden-state-warriors-cleveland-cavaliers-IwdCe06k/,nba,NBA,2016/2017,"{""231.5"": {""label"": 231.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-06-10,Cleveland Cavaliers,Golden State Warriors,,137,2.65,1.50,https://www.oddsportal.com/basketball/usa/nba-2016-2017/cleveland-cavaliers-golden-state-warriors-tjhXdnTk/,nba,NBA,2016/2017,"{""227.5"": {""label"": 227.5, ""odds_over"": 1.91, ""odds_under"": 1.9}}",
2017-06-08,Cleveland Cavaliers,Golden State Warriors,113,118,2.34,1.63,https://www.oddsportal.com/basketball/usa/nba-2016-2017/cleveland-cavaliers-golden-state-warriors-2agTcSDq/,nba,NBA,2016/2017,"{""227.5"": {""label"": 227.5, ""odds_over"": 1.91, ""odds_under"": 1.9}}",
2017-06-05,Golden State Warriors,Cleveland Cavaliers,,132,1.23,4.25,https://www.oddsportal.com/basketball/usa/nba-2016-2017/golden-state-warriors-cleveland-cavaliers-nkzaFfqH/,nba,NBA,2016/2017,"{""221.5"": {""label"": 221.5, ""odds_over"": 1.89, ""odds_under"": 1.93}}",
2017-06-02,Golden State Warriors,Cleveland Cavaliers,,113,1.30,3.63,https://www.oddsportal.com/basketball/usa/nba-2016-2017/golden-state-warriors-cleveland-cavaliers-8byeGzUA/,nba,NBA,2016/2017,"{""223.5"": {""label"": 223.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""224.5"": {""label"": 224.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""225.5"": {""label"": 225.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""226.5"": {""label"": 226.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2017-05-26,Boston Celtics,Cleveland Cavaliers,102,135,5.13,1.18,https://www.oddsportal.com/basketball/usa/nba-2016-2017/boston-celtics-cleveland-cavaliers-SKkUGfkl/,nba,NBA,2016/2017,"{""213.5"": {""label"": 213.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-24,Cleveland Cavaliers,Boston Celtics,,112,1.03,14.75,https://www.oddsportal.com/basketball/usa/nba-2016-2017/cleveland-cavaliers-boston-celtics-27DaHA0c/,nba,NBA,2016/2017,"{""216.5"": {""label"": 216.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-23,San Antonio Spurs,Golden State Warriors,115,129,6.48,1.12,https://www.oddsportal.com/basketball/usa/nba-2016-2017/san-antonio-spurs-golden-state-warriors-pvZMv096/,nba,NBA,2016/2017,"{""218.5"": {""label"": 218.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-22,Cleveland Cavaliers,Boston Celtics,108,111,1.03,14.75,https://www.oddsportal.com/basketball/usa/nba-2016-2017/cleveland-cavaliers-boston-celtics-OGEeIjoi/,nba,NBA,2016/2017,"{""213.5"": {""label"": 213.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""215.5"": {""label"": 215.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""216.5"": {""label"": 216.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2017-05-21,San Antonio Spurs,Golden State Warriors,108,120,4.63,1.21,https://www.oddsportal.com/basketball/usa/nba-2016-2017/san-antonio-spurs-golden-state-warriors-WzVIutf0/,nba,NBA,2016/2017,"{""214.5"": {""label"": 214.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-20,Boston Celtics,Cleveland Cavaliers,86,130,2.78,1.46,https://www.oddsportal.com/basketball/usa/nba-2016-2017/boston-celtics-cleveland-cavaliers-OO8Kg78j/,nba,NBA,2016/2017,"{""218.5"": {""label"": 218.5, ""odds_over"": 1.91, ""odds_under"": 1.9}, ""219.5"": {""label"": 219.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-18,Boston Celtics,Cleveland Cavaliers,104,117,2.58,1.54,https://www.oddsportal.com/basketball/usa/nba-2016-2017/boston-celtics-cleveland-cavaliers-pY9Gfmgp/,nba,NBA,2016/2017,"{""218.5"": {""label"": 218.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-17,Golden State Warriors,San Antonio Spurs,,136,1.07,9.43,https://www.oddsportal.com/basketball/usa/nba-2016-2017/golden-state-warriors-san-antonio-spurs-lCuEtMvf/,nba,NBA,2016/2017,"{""210.5"": {""label"": 210.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2017-05-16,Boston Celtics,Washington Wizards,,115,1.46,2.78,https://www.oddsportal.com/basketball/usa/nba-2016-2017/boston-celtics-washington-wizards-SWmiVaIl/,nba,NBA,2016/2017,"{""210.5"": {""label"": 210.5, ""odds_over"": 1.91, ""odds_under"": 1.91}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-14,Golden State Warriors,San Antonio Spurs,,113,1.15,5.68,https://www.oddsportal.com/basketball/usa/nba-2016-2017/golden-state-warriors-san-antonio-spurs-ALtAs2Pm/,nba,NBA,2016/2017,"{""209.5"": {""label"": 209.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-13,Washington Wizards,Boston Celtics,,92,1.46,2.78,https://www.oddsportal.com/basketball/usa/nba-2016-2017/washington-wizards-boston-celtics-fecqHJzM/,nba,NBA,2016/2017,"{""215.5"": {""label"": 215.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-12,Houston Rockets,San Antonio Spurs,75,114,1.19,4.90,https://www.oddsportal.com/basketball/usa/nba-2016-2017/houston-rockets-san-antonio-spurs-EuvGBcbq/,nba,NBA,2016/2017,"{""209.5"": {""label"": 209.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.92, ""odds_under"": 1.9}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2017-05-11,Boston Celtics,Washington Wizards,,123,1.58,2.45,https://www.oddsportal.com/basketball/usa/nba-2016-2017/boston-celtics-washington-wizards-GYwVSYJR/,nba,NBA,2016/2017,"{""217.5"": {""label"": 217.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2017-05-10,San Antonio Spurs,Houston Rockets,,110,1.44,2.83,https://www.oddsportal.com/basketball/usa/nba-2016-2017/san-antonio-spurs-houston-rockets-dpaaV3iP/,nba,NBA,2016/2017,"{""214.5"": {""label"": 214.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2017-05-09,Utah Jazz,Golden State Warriors,95,121,4.43,1.22,https://www.oddsportal.com/basketball/usa/nba-2016-2017/utah-jazz-golden-state-warriors-Q759Qw4j/,nba,NBA,2016/2017,"{""207.5"": {""label"": 207.5, ""odds_over"": 1.9, ""odds_under"": 1.91}}",
2017-05-08,Houston Rockets,San Antonio Spurs,,125,1.46,2.72,https://www.oddsportal.com/basketball/usa/nba-2016-2017/houston-rockets-san-antonio-spurs-zwJ5Kuv8/,nba,NBA,2016/2017,"{""212.5"": {""label"": 212.5, ""odds_over"": 1.92, ""odds_under"": 1.9}}",
