date,home_team,away_team,home_score,away_score,home_odds,away_odds
2022-06-17,Boston Celtics,Golden State Warriors,90,103,1.52,2.29
2022-06-14,Golden State Warriors,Boston Celtics,,104,1.55,2.31
2022-06-11,Boston Celtics,Golden State Warriors,97,107,1.56,2.28
2022-06-09,Boston Celtics,Golden State Warriors,,116,1.61,2.19
2022-06-06,Golden State Warriors,Boston Celtics,,107,1.43,2.49
2022-06-03,Golden State Warriors,Boston Celtics,108,120,1.52,2.29
2022-05-30,Miami Heat,Boston Celtics,96,100,2.14,1.59
2022-05-28,Boston Celtics,Miami Heat,103,111,1.21,3.65
2022-05-27,Golden State Warriors,Dallas Mavericks,,120,1.31,3.00
2022-05-26,Miami Heat,Boston Celtics,80,93,2.17,1.53
2022-05-25,Dallas Mavericks,Golden State Warriors,,119,1.73,1.92
2022-05-24,Boston Celtics,Miami Heat,,102,1.31,2.95
2022-05-23,Dallas Mavericks,Golden State Warriors,100,109,1.57,2.18
2022-05-22,Boston Celtics,Miami Heat,103,109,1.37,2.71
2022-05-21,Golden State Warriors,Dallas Mavericks,,126,1.35,2.80
2022-05-20,Miami Heat,Boston Celtics,102,127,1.77,1.87
2022-05-19,Golden State Warriors,Dallas Mavericks,,112,1.40,2.61
2022-05-18,Miami Heat,Boston Celtics,,118,1.46,2.42
2022-05-16,Phoenix Suns,Dallas Mavericks,90,123,1.32,3.00
2022-05-15,Boston Celtics,Milwaukee Bucks,,109,1.43,2.53
2022-05-14,Golden State Warriors,Memphis Grizzlies,,110,1.25,3.33
2022-05-14,Milwaukee Bucks,Boston Celtics,95,108,1.75,1.90
2022-05-13,Dallas Mavericks,Phoenix Suns,,113,2.01,1.67
2022-05-13,Philadelphia 76ers,Miami Heat,90,99,1.65,2.03
2022-05-12,Memphis Grizzlies,Golden State Warriors,,134,2.32,1.51
2022-05-12,Boston Celtics,Milwaukee Bucks,107,110,1.47,2.40
2022-05-11,Phoenix Suns,Dallas Mavericks,,110,1.30,3.08
2022-05-11,Miami Heat,Philadelphia 76ers,,120,1.62,2.09
2022-05-10,Golden State Warriors,Memphis Grizzlies,,101,1.15,4.35
2022-05-10,Milwaukee Bucks,Boston Celtics,108,116,1.71,1.90
2022-05-09,Philadelphia 76ers,Miami Heat,76,116,1.65,2.01
2022-05-08,Dallas Mavericks,Phoenix Suns,,111,2.13,1.59
2022-05-08,Golden State Warriors,Memphis Grizzlies,,142,1.30,3.05
2022-05-07,Milwaukee Bucks,Boston Celtics,,103,1.65,2.03
2022-05-07,Dallas Mavericks,Phoenix Suns,,103,1.78,1.86
2022-05-07,Philadelphia 76ers,Miami Heat,76,99,1.84,1.81
2022-05-05,Phoenix Suns,Dallas Mavericks,,129,1.36,2.80
2022-05-05,Miami Heat,Philadelphia 76ers,,119,1.23,3.48
2022-05-04,Memphis Grizzlies,Golden State Warriors,,106,1.97,1.69
2022-05-04,Boston Celtics,Milwaukee Bucks,,109,1.51,2.29
2022-05-03,Phoenix Suns,Dallas Mavericks,,121,1.36,2.78
2022-05-03,Miami Heat,Philadelphia 76ers,,106,1.25,3.45
2022-05-01,Memphis Grizzlies,Golden State Warriors,116,117,2.04,1.66
2022-05-01,Boston Celtics,Milwaukee Bucks,89,101,1.46,2.40
2022-04-30,Minnesota Timberwolves,Memphis Grizzlies,106,114,1.92,1.73
2022-04-29,Utah Jazz,Dallas Mavericks,96,98,1.89,1.76
2022-04-29,New Orleans Pelicans,Phoenix Suns,109,115,2.13,1.56
2022-04-29,Toronto Raptors,Philadelphia 76ers,97,132,1.86,1.79
2022-04-28,Golden State Warriors,Denver Nuggets,,102,1.21,3.70
2022-04-28,Milwaukee Bucks,Chicago Bulls,,116,1.08,6.13
2022-04-27,Phoenix Suns,New Orleans Pelicans,,112,1.31,2.83
2022-04-27,Memphis Grizzlies,Minnesota Timberwolves,,111,1.32,2.95
2022-04-27,Miami Heat,Atlanta Hawks,,97,1.50,2.34
2022-04-26,Dallas Mavericks,Utah Jazz,,102,1.57,2.19
2022-04-26,Philadelphia 76ers,Toronto Raptors,88,103,1.23,3.53
2022-04-26,Brooklyn Nets,Boston Celtics,112,116,1.73,1.92
2022-04-25,New Orleans Pelicans,Phoenix Suns,,118,2.00,1.67
2022-04-25,Atlanta Hawks,Miami Heat,86,110,1.90,1.74
2022-04-24,Denver Nuggets,Golden State Warriors,,126,2.40,1.47
2022-04-24,Chicago Bulls,Milwaukee Bucks,95,119,2.40,1.47
2022-04-24,Minnesota Timberwolves,Memphis Grizzlies,,119,2.04,1.65
2022-04-24,Brooklyn Nets,Boston Celtics,103,109,1.55,2.24
2022-04-23,Utah Jazz,Dallas Mavericks,,100,1.38,2.69
2022-04-23,Toronto Raptors,Philadelphia 76ers,,110,2.06,1.59
2022-04-23,New Orleans Pelicans,Phoenix Suns,111,114,2.01,1.67
2022-04-23,Chicago Bulls,Milwaukee Bucks,81,111,2.09,1.62
2022-04-23,Atlanta Hawks,Miami Heat,,111,1.92,1.73
2022-04-22,Denver Nuggets,Golden State Warriors,113,118,2.00,1.65
2022-04-22,Utah Jazz,Dallas Mavericks,118,126,1.21,3.65
2022-04-22,Minnesota Timberwolves,Memphis Grizzlies,95,104,2.04,1.64
2022-04-21,Milwaukee Bucks,Chicago Bulls,110,114,1.18,3.95
2022-04-21,Toronto Raptors,Philadelphia 76ers,101,104,1.99,1.69
2022-04-21,Boston Celtics,Brooklyn Nets,,114,1.56,2.18
2022-04-20,Phoenix Suns,New Orleans Pelicans,114,125,1.17,4.03
2022-04-20,Memphis Grizzlies,Minnesota Timberwolves,,124,1.31,3.03
2022-04-20,Miami Heat,Atlanta Hawks,,115,1.26,3.35
2022-04-19,Golden State Warriors,Denver Nuggets,,126,1.29,3.08
2022-04-19,Dallas Mavericks,Utah Jazz,,110,2.49,1.44
2022-04-19,Philadelphia 76ers,Toronto Raptors,76,112,1.27,3.20
2022-04-18,Phoenix Suns,New Orleans Pelicans,,110,1.17,4.10
2022-04-18,Milwaukee Bucks,Chicago Bulls,,93,1.15,4.30
2022-04-17,Boston Celtics,Brooklyn Nets,,115,1.50,2.30
2022-04-17,Miami Heat,Atlanta Hawks,,115,1.31,3.03
2022-04-17,Golden State Warriors,Denver Nuggets,,123,1.32,2.93
2022-04-17,Philadelphia 76ers,Toronto Raptors,76,131,1.46,2.40
2022-04-16,Memphis Grizzlies,Minnesota Timberwolves,117,130,1.34,2.85
2022-04-16,Dallas Mavericks,Utah Jazz,93,99,2.49,1.42
2022-04-16,Los Angeles Clippers,New Orleans Pelicans,101,105,1.87,1.76
2022-04-16,Cleveland Cavaliers,Atlanta Hawks,101,107,1.96,1.69
2022-04-14,New Orleans Pelicans,San Antonio Spurs,,113,1.42,2.53
2022-04-14,Atlanta Hawks,Charlotte Hornets,,132,1.41,2.54
2022-04-13,Minnesota Timberwolves,Los Angeles Clippers,,109,1.54,2.15
2022-04-13,Brooklyn Nets,Cleveland Cavaliers,,115,1.17,4.08
2022-04-11,Dallas Mavericks,San Antonio Spurs,,130,1.15,4.10
2022-04-11,Denver Nuggets,Los Angeles Lakers,141,146,1.36,2.64
2022-04-11,Los Angeles Clippers,Oklahoma City Thunder,,138,1.11,4.85
2022-04-11,New Orleans Pelicans,Golden State Warriors,107,128,2.78,1.33
2022-04-11,Phoenix Suns,Sacramento Kings,109,116,1.13,4.48
2022-04-11,Portland Trail Blazers,Utah Jazz,80,111,6.95,1.03
2022-04-11,Minnesota Timberwolves,Chicago Bulls,120,124,1.27,3.09
2022-04-11,Memphis Grizzlies,Boston Celtics,110,139,3.45,1.23
2022-04-11,New York Knicks,Toronto Raptors,,105,1.86,1.76
2022-04-11,Orlando Magic,Miami Heat,,125,3.15,1.28
2022-04-11,Philadelphia 76ers,Detroit Pistons,76,118,1.30,2.97
2022-04-10,Brooklyn Nets,Indiana Pacers,,134,1.03,7.50
2022-04-10,Charlotte Hornets,Washington Wizards,,124,1.07,5.60
2022-04-10,Cleveland Cavaliers,Milwaukee Bucks,,133,1.20,3.55
2022-04-10,Houston Rockets,Atlanta Hawks,114,130,5.10,1.10
2022-04-10,Los Angeles Clippers,Sacramento Kings,,117,1.09,5.10
2022-04-10,San Antonio Spurs,Golden State Warriors,94,100,2.95,1.29
2022-04-10,Memphis Grizzlies,New Orleans Pelicans,,141,1.27,3.25
2022-04-09,Philadelphia 76ers,Indiana Pacers,76,133,1.04,6.43
2022-04-09,Los Angeles Lakers,Oklahoma City Thunder,,120,1.36,2.63
2022-04-09,Utah Jazz,Phoenix Suns,105,111,1.55,2.13
2022-04-09,Dallas Mavericks,Portland Trail Blazers,,128,1.01,10.75
2022-04-09,Chicago Bulls,Charlotte Hornets,117,133,1.64,2.01
2022-04-09,Miami Heat,Atlanta Hawks,,113,1.73,1.90
2022-04-09,Brooklyn Nets,Cleveland Cavaliers,,118,1.22,3.36
2022-04-09,Toronto Raptors,Houston Rockets,,117,1.10,4.93
2022-04-09,Detroit Pistons,Milwaukee Bucks,101,131,3.83,1.17
2022-04-09,Washington Wizards,New York Knicks,92,114,2.16,1.54
2022-04-08,Golden State Warriors,Los Angeles Lakers,,128,1.05,6.25
2022-04-08,Denver Nuggets,Memphis Grizzlies,,122,1.48,2.31
2022-04-08,Minnesota Timberwolves,San Antonio Spurs,,127,1.28,3.03
2022-04-08,New Orleans Pelicans,Portland Trail Blazers,,127,1.03,7.38
2022-04-08,Milwaukee Bucks,Boston Celtics,,127,1.23,3.30
2022-04-08,Toronto Raptors,Philadelphia 76ers,,119,2.17,1.56
2022-04-08,Charlotte Hornets,Orlando Magic,,128,1.06,6.18
2022-04-07,Los Angeles Clippers,Phoenix Suns,,113,1.27,3.04
2022-04-07,Utah Jazz,Oklahoma City Thunder,,137,1.05,6.45
2022-04-07,Atlanta Hawks,Washington Wizards,,118,1.15,4.35
2022-04-07,Chicago Bulls,Boston Celtics,94,117,3.26,1.25
2022-04-07,New York Knicks,Brooklyn Nets,98,110,2.97,1.30
2022-04-07,Detroit Pistons,Dallas Mavericks,113,131,3.59,1.19
2022-04-06,Phoenix Suns,Los Angeles Lakers,,121,1.10,5.13
