gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
0021500051,1610612763,Memphis,Grizzlies,MEM,grizzlies,203210,JaMychal,Green,J. Green,jamychal-green,,,0,21:27,2,2,0,2,7,5,17,14,0,0,1,0
0021500051,1610612763,Memphis,Grizzlies,MEM,grizzlies,2440,Matt,Barnes,M. Barnes,matt-barnes,,,22,26:20,0,2,3,6,9,5,23,26,3,1,4,0
0021500051,1610612763,Memphis,Grizzlies,MEM,grizzlies,2757,Beno,Udrih,B. Udrih,beno-udrih,,,19,15:07,0,0,0,0,0,6,2,12,0,1,1,1
0021500051,1610612763,Memphis,Grizzlies,MEM,grizzlies,201148,Brandan,Wright,B. Wright,brandan-wright,,,34,19:49,0,0,0,4,2,5,5,18,2,0,2,3
0021500051,1610612763,Memphis,Grizzlies,MEM,grizzlies,1713,Vince,Carter,V. Carter,vince-carter,,,15,15:39,0,0,0,0,2,5,5,16,0,0,2,0
0021500051,1610612763,Memphis,Grizzlies,MEM,grizzlies,203919,Jordan,Adams,J. Adams,jordan-adams,,,3,7:36,1,0,1,2,0,2,0,6,0,0,2,1
0021500051,1610612763,Memphis,Grizzlies,MEM,grizzlies,203893,Russ,Smith,R. Smith,russ-smith,,,2,6:26,0,0,0,2,2,1,3,6,0,1,1,1
0021500051,1610612744,Golden State,Warriors,GSW,warriors,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,40,20:09,2,2,4,2,4,6,3,12,0,0,0,2
0021500051,1610612744,Golden State,Warriors,GSW,warriors,203110,Draymond,Green,D. Green,draymond-green,F,,23,26:57,0,0,3,2,6,6,6,12,3,0,2,1
0021500051,1610612744,Golden State,Warriors,GSW,warriors,203105,Festus,Ezeli,F. Ezeli,festus-ezeli,C,,31,20:26,0,6,2,8,4,4,4,10,3,1,2,3
0021500051,1610612744,Golden State,Warriors,GSW,warriors,202691,Klay,Thompson,K. Thompson,klay-thompson,G,,11,26:27,5,0,2,2,6,6,6,12,2,1,0,0
0021500051,1610612744,Golden State,Warriors,GSW,warriors,201939,Stephen,Curry,S. Curry,stephen-curry,G,,30,28:24,5,0,20,8,6,6,9,14,1,0,2,5
0021500051,1610612744,Golden State,Warriors,GSW,warriors,2738,Andre,Iguodala,A. Iguodala,andre-iguodala,,,9,21:30,0,2,0,4,2,4,7,12,1,0,0,0
0021500051,1610612744,Golden State,Warriors,GSW,warriors,201578,Marreese,Speights,M. Speights,marreese-speights,,,5,18:53,0,0,0,2,2,6,3,14,0,3,4,1
0021500051,1610612744,Golden State,Warriors,GSW,warriors,2733,Shaun,Livingston,S. Livingston,shaun-livingston,,,34,10:19,0,0,0,2,0,2,3,8,1,0,0,0
0021500051,1610612744,Golden State,Warriors,GSW,warriors,2571,Leandro,Barbosa,L. Barbosa,leandro-barbosa,,,19,14:55,0,0,0,0,3,4,1,12,1,1,2,3
0021500051,1610612744,Golden State,Warriors,GSW,warriors,201575,Brandon,Rush,B. Rush,brandon-rush,,,4,13:22,0,0,0,0,3,2,3,8,0,0,1,2
0021500051,1610612744,Golden State,Warriors,GSW,warriors,203949,James Michael,McAdoo,J. McAdoo,james-michael-mcadoo,,,20,16:28,2,1,2,8,5,2,3,12,0,1,1,4
0021500051,1610612744,Golden State,Warriors,GSW,warriors,203546,Ian,Clark,I. Clark,ian-clark,,,21,12:00,0,2,3,2,3,2,1,8,0,0,0,3
0021500051,1610612744,Golden State,Warriors,GSW,warriors,201574,Jason,Thompson,J. Thompson,jason-thompson,,,1,10:10,0,0,0,2,1,0,1,6,1,0,1,0
0021500056,1610612753,Orlando,Magic,ORL,magic,203095,Evan,Fournier,E. Fournier,evan-fournier,F,,10,42:45,2,0,2,14,18,6,17,28,0,1,2,2
0021500056,1610612753,Orlando,Magic,ORL,magic,202699,Tobias,Harris,T. Harris,tobias-harris,F,,12,29:23,0,2,2,6,16,2,11,18,0,2,4,0
0021500056,1610612753,Orlando,Magic,ORL,magic,202696,Nikola,Vučević,N. Vučević,nikola-vučević,C,,9,33:42,2,6,0,16,13,4,15,20,1,2,3,2
0021500056,1610612753,Orlando,Magic,ORL,magic,203506,Victor,Oladipo,V. Oladipo,victor-oladipo,G,,5,35:56,0,3,4,4,13,6,13,22,1,0,2,3
0021500056,1610612753,Orlando,Magic,ORL,magic,203901,Elfrid,Payton,E. Payton,elfrid-payton,G,,4,29:28,2,0,0,8,16,4,10,22,0,2,2,2
0021500056,1610612753,Orlando,Magic,ORL,magic,201228,C.J.,Watson,C. Watson,cj-watson,,,32,20:27,0,0,0,0,10,2,5,16,0,0,0,4
0021500056,1610612753,Orlando,Magic,ORL,magic,1626209,Mario,Hezonja,M. Hezonja,mario-hezonja,,,23,14:31,0,0,0,0,9,0,4,14,0,0,0,0
0021500056,1610612753,Orlando,Magic,ORL,magic,203932,Aaron,Gordon,A. Gordon,aaron-gordon,,,00,4:28,0,0,0,2,0,0,2,6,0,1,2,0
0021500056,1610612753,Orlando,Magic,ORL,magic,201160,Jason,Smith,J. Smith,jason-smith,,,14,16:16,0,0,0,0,7,4,2,12,0,1,2,1
0021500056,1610612753,Orlando,Magic,ORL,magic,203473,Dewayne,Dedmon,D. Dedmon,dewayne-dedmon,,,3,12:11,0,0,2,6,8,2,4,12,1,0,1,0
0021500056,1610612753,Orlando,Magic,ORL,magic,203894,Shabazz,Napier,S. Napier,shabazz-napier,,,13,0:53,0,0,0,0,0,0,2,0,0,0,0,0
0021500056,1610612753,Orlando,Magic,ORL,magic,101112,Channing,Frye,C. Frye,channing-frye,,DNP - Coach's Decision,8,,0,0,0,0,0,0,0,0,0,0,0,0
0021500056,1610612753,Orlando,Magic,ORL,magic,203094,Andrew,Nicholson,A. Nicholson,andrew-nicholson,,DNP - Coach's Decision,44,,0,0,0,0,0,0,0,0,0,0,0,0
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,202337,Luke,Babbitt,L. Babbitt,luke-babbitt,F,,8,28:10,2,0,0,2,2,9,8,34,0,0,1,0
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,203076,Anthony,Davis,A. Davis,anthony-davis,F,,23,36:16,4,0,4,6,2,11,8,36,5,0,2,6
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,201582,Alexis,Ajinca,A. Ajinca,alexis-ajinca,C,,42,20:29,2,0,0,4,2,2,4,18,2,1,2,0
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,201569,Eric,Gordon,E. Gordon,eric-gordon,G,,10,37:49,6,2,6,8,4,8,8,38,0,0,2,1
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,11,23:24,3,0,5,0,0,4,4,22,1,1,0,4
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,201962,Toney,Douglas,T. Douglas,toney-douglas,,,16,19:32,2,0,0,6,6,4,4,30,0,0,5,1
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,201583,Ryan,Anderson,R. Anderson,ryan-anderson,,,33,26:36,0,2,0,2,6,4,4,40,1,1,1,5
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,201967,Dante,Cunningham,D. Cunningham,dante-cunningham,,,44,21:11,3,0,2,4,4,5,4,22,0,0,1,1
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,202087,Alonzo,Gee,A. Gee,alonzo-gee,,,15,9:57,0,2,0,2,2,3,4,16,0,0,0,0
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,202397,Ish,Smith,I. Smith,ish-smith,,,4,16:36,0,0,0,0,2,5,2,24,0,0,0,0
0021500056,1610612740,New Orleans,Pelicans,NOP,pelicans,201600,Omer,Asik,O. Asik,omer-asik,,DNP - Coach's Decision,3,,0,0,0,0,0,0,0,0,0,0,0,0
0021500057,1610612761,Toronto,Raptors,TOR,raptors,201960,DeMarre,Carroll,D. Carroll,demarre-carroll,F,,5,33:38,0,0,0,2,7,10,8,22,1,0,3,3
0021500057,1610612761,Toronto,Raptors,TOR,raptors,2449,Luis,Scola,L. Scola,luis-scola,F,,4,31:19,4,2,2,10,7,10,7,16,0,0,2,4
0021500057,1610612761,Toronto,Raptors,TOR,raptors,202685,Jonas,Valančiūnas,J. Valančiūnas,jonas-valančiūnas,C,,17,33:41,3,2,0,12,7,8,7,18,2,0,3,5
0021500057,1610612761,Toronto,Raptors,TOR,raptors,201942,DeMar,DeRozan,D. DeRozan,demar-derozan,G,,10,28:23,0,2,0,6,4,5,10,22,0,2,3,5
0021500057,1610612761,Toronto,Raptors,TOR,raptors,200768,Kyle,Lowry,K. Lowry,kyle-lowry,G,,7,36:49,7,3,5,4,5,12,7,20,2,0,4,2
0021500057,1610612761,Toronto,Raptors,TOR,raptors,203082,Terrence,Ross,T. Ross,terrence-ross,,,31,22:50,2,0,2,4,10,9,7,10,0,0,5,2
0021500057,1610612761,Toronto,Raptors,TOR,raptors,202687,Bismack,Biyombo,B. Biyombo,bismack-biyombo,,,8,13:38,2,2,0,4,3,4,6,10,1,1,3,2
0021500057,1610612761,Toronto,Raptors,TOR,raptors,202709,Cory,Joseph,C. Joseph,cory-joseph,,,6,19:58,0,0,0,2,7,0,11,16,0,0,1,2
