date,game_id,team,odds,prob,ev,stake,won,gain,bankroll
2022-10-18,22200001.0,boston celtics,1.63,0.6839929064100556,0.11490843744839058,50.0,1,31.499999999999993,1031.5
2022-10-18,22200002.0,golden state warriors,1.28,0.8045415741656274,0.029813214932003146,51.575,1,14.441000000000003,1045.941
2022-10-19,22200003.0,detroit pistons,1.61,0.5235147291977534,-0.15714128599161692,0.0,1,0.0,1045.941
2022-10-19,22200004.0,indiana pacers,2.06,0.5748167781198492,0.18412256292688944,52.297050000000006,0,-52.297050000000006,993.64395
2022-10-19,22200005.0,houston rockets,4.25,0.23694018798196315,0.006995798923343344,2.1388717771066545,0,-2.1388717771066545,991.5050782228934
2022-10-19,22200006.0,brooklyn nets,1.65,0.6555991499407926,0.08173859740230771,49.57525391114467,0,-49.57525391114467,941.9298243117487
2022-10-19,22200007.0,miami heat,1.3,0.6739481044186907,-0.12386746425570208,0.0,0,-0.0,941.9298243117487
2022-10-19,22200008.0,toronto raptors,1.66,0.6794133618218318,0.12782618062424067,47.096491215587434,1,31.083684202287703,973.0135085140364
2022-10-19,22200009.0,memphis grizzlies,1.5,0.7624690921704835,0.1437036382557253,48.65067542570182,1,24.32533771285091,997.3388462268873
2022-10-19,22200010.0,oklahoma city thunder,5.08,0.1786046790646158,-0.09268823035175167,0.0,0,-0.0,997.3388462268873
2022-10-19,22200011.0,san antonio spurs,1.86,0.5913496536742858,0.09991035583417174,49.86694231134437,0,-49.86694231134437,947.471903915543
2022-10-19,22200012.0,utah jazz,3.01,0.6795552623390365,1.0454613396404997,47.37359519577715,1,95.22092634351206,1042.692830259055
2022-10-19,22200013.0,dallas mavericks,2.35,0.42726643693807964,0.004076126804487212,3.1482579216781987,0,-3.1482579216781987,1039.5445723373768
2022-10-19,22200014.0,sacramento kings,1.6,0.6146365579706963,-0.016581507246885896,0.0,0,-0.0,1039.5445723373768
2022-10-20,22200015.0,philadelphia 76ers,1.53,0.5906223337395731,-0.09634782937845321,0.0,0,-0.0,1039.5445723373768
2022-10-20,22200016.0,los angeles lakers,2.45,0.5223550414839241,0.2797698516356141,51.97722861686884,0,-51.97722861686884,987.567343720508
2022-10-21,22200017.0,charlotte hornets,2.99,0.6286336704215348,0.8796146745603893,49.3783671860254,0,-49.3783671860254,938.1889765344827
2022-10-21,22200019.0,washington wizards,1.7,0.5200668781139152,-0.11588630720634424,0.0,1,0.0,938.1889765344827
2022-10-21,22200020.0,atlanta hawks,1.22,0.7692719841554124,-0.06148817933039685,0.0,1,0.0,938.1889765344827
2022-10-21,22200021.0,brooklyn nets,1.64,0.6028956625162845,-0.01125111347329355,0.0,1,0.0,938.1889765344827
2022-10-21,22200022.0,miami heat,2.0,0.5722943758959621,0.1445887517919242,46.90944882672414,0,-46.90944882672414,891.2795277077586
2022-10-21,22200023.0,new york knicks,1.3,0.7394549551174494,-0.038708558347315736,0.0,1,0.0,891.2795277077586
2022-10-21,22200024.0,memphis grizzlies,1.32,0.745513638772227,-0.01592199682066034,0.0,1,0.0,891.2795277077586
2022-10-21,22200025.0,utah jazz,3.57,0.4567512137854078,0.6306018332139056,44.56397638538793,1,114.52941931044698,1005.8089470182056
2022-10-21,22200026.0,golden state warriors,1.41,0.7301156206200423,0.02946302507425963,50.290447350910284,0,-50.290447350910284,955.5184996672953
2022-10-21,22200027.0,phoenix suns,1.43,0.6446102348937691,-0.0782073641019102,0.0,0,-0.0,955.5184996672953
2022-10-22,22200028.0,san antonio spurs,7.08,0.29938019796914994,1.1196118016215817,47.77592498336477,1,290.4776238988578,1245.996123566153
2022-10-22,22200029.0,indiana pacers,1.83,0.5908572127480346,0.08126869932890335,62.299806178307655,1,51.70883912799536,1297.7049626941484
2022-10-22,22200030.0,orlando magic,3.93,0.2732373277412959,0.07382269802329278,32.69627357825889,0,-32.69627357825889,1265.0086891158896
2022-10-22,22200031.0,miami heat,1.57,0.6583023892946914,0.03353475119266558,63.25043445579448,1,36.05274763980286,1301.0614367556925
2022-10-22,22200032.0,chicago bulls,1.94,0.5563153406814493,0.07925176092201158,65.05307183778463,0,-65.05307183778463,1236.0083649179078
2022-10-22,22200033.0,houston rockets,6.85,0.1726659298570702,0.18276161952093062,38.61451119894261,0,-38.61451119894261,1197.3938537189651
2022-10-22,22200034.0,memphis grizzlies,2.65,0.52152889794706,0.38205157955970903,59.86969268594826,0,-59.86969268594826,1137.524161033017
2022-10-22,22200035.0,denver nuggets,1.19,0.7486339191572874,-0.10912563620282806,0.0,1,0.0,1137.524161033017
2022-10-22,22200036.0,los angeles clippers,1.67,0.5902574768393611,-0.014270013678266913,0.0,1,0.0,1137.524161033017
2022-10-23,22200037.0,los angeles lakers,1.53,0.6261645116184646,-0.04196829722374906,0.0,0,-0.0,1137.524161033017
2022-10-23,22200038.0,charlotte hornets,4.2,0.3620204478389809,0.52048588092372,56.87620805165085,1,182.00386576528274,1319.5280267982998
2022-10-23,22200039.0,cleveland cavaliers,1.59,0.6568860243565064,0.04444877872684533,65.976401339915,1,38.92607679054986,1358.4541035888496
2022-10-23,22200040.0,utah jazz,3.42,0.4338516276659261,0.48377256661746726,67.92270517944249,1,164.37294653425081,1522.8270501231004
2022-10-23,22200041.0,oklahoma city thunder,4.18,0.32823331768057523,0.3720152679048043,76.14135250615503,0,-76.14135250615503,1446.6856976169454
2022-10-23,22200042.0,golden state warriors,1.18,0.7981970261461695,-0.058127509147520046,0.0,1,0.0,1446.6856976169454
2022-10-23,22200043.0,los angeles clippers,1.88,0.5639173419930825,0.060164602946995105,72.33428488084728,0,-72.33428488084728,1374.3514127360982
2022-10-24,22200044.0,indiana pacers,6.17,0.28696573562696504,0.7705785888183743,68.71757063680491,0,-68.71757063680491,1305.6338420992934
