gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,usagePercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
0021500030,1610612744,Golden State,Warriors,GSW,warriors,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,,26:28,0.183,0.208,0.196,0.0,0.071,0.222,0.182,0.0,0.313,0.227,0.167,0.0,0.0,0.0,0.0,0.143,0.182,0.194
0021500030,1610612744,Golden State,Warriors,GSW,warriors,203110,Draymond,Green,D. Green,draymond-green,F,,,31:14,0.145,0.111,0.131,0.125,0.095,0.222,0.25,0.167,0.25,0.233,0.412,0.167,0.333,0.5,0.429,0.143,0.429,0.127
0021500030,1610612744,Golden State,Warriors,GSW,warriors,203105,Festus,Ezeli,F. Ezeli,festus-ezeli,C,,,24:42,0.228,0.19,0.191,0.0,0.0,0.167,0.333,0.6,0.222,0.304,0.077,0.4,0.0,0.667,0.333,0.25,0.167,0.164
0021500030,1610612744,Golden State,Warriors,GSW,warriors,202691,Klay,Thompson,K. Thompson,klay-thompson,G,,,24:03,0.22,0.19,0.208,0.143,0.294,0.5,0.25,0.0,0.1,0.087,0.0,0.4,0.333,0.0,0.0,0.231,0.111,0.208
0021500030,1610612744,Golden State,Warriors,GSW,warriors,201939,Stephen,Curry,S. Curry,stephen-curry,G,,,27:24,0.258,0.36,0.288,0.571,0.474,0.375,0.286,0.0,0.318,0.259,0.4,0.167,0.25,0.0,0.0,0.308,0.167,0.385
0021500030,1610612744,Golden State,Warriors,GSW,warriors,2738,Andre,Iguodala,A. Iguodala,andre-iguodala,,,,29:47,0.127,0.2,0.164,0.4,0.313,0.0,0.0,0.333,0.115,0.171,0.235,0.0,0.333,0.0,0.0,0.0,0.143,0.171
0021500030,1610612744,Golden State,Warriors,GSW,warriors,2733,Shaun,Livingston,S. Livingston,shaun-livingston,,,,19:59,0.109,0.0,0.081,0.0,0.0,0.333,0.333,0.0,0.077,0.05,0.0,0.0,0.0,0.0,0.333,0.0,0.2,0.089
0021500030,1610612744,Golden State,Warriors,GSW,warriors,201578,Marreese,Speights,M. Speights,marreese-speights,,,,12:40,0.429,0.462,0.478,0.0,0.333,0.286,0.286,0.667,0.2,0.308,0.125,0.0,0.0,1.0,0.0,0.429,0.4,0.412
0021500030,1610612744,Golden State,Warriors,GSW,warriors,2571,Leandro,Barbosa,L. Barbosa,leandro-barbosa,,,,19:23,0.152,0.1,0.158,1.0,0.2,0.0,0.0,0.0,0.143,0.105,0.154,0.5,0.75,0.0,0.0,0.3,0.0,0.102
0021500030,1610612744,Golden State,Warriors,GSW,warriors,201574,Jason,Thompson,J. Thompson,jason-thompson,,,,6:26,0.15,0.333,0.214,0.0,0.0,0.0,0.0,0.5,0.333,0.375,0.0,0.0,0.0,0.0,0.333,0.2,0.0,0.267
0021500030,1610612744,Golden State,Warriors,GSW,warriors,203949,James Michael,McAdoo,J. McAdoo,james-michael-mcadoo,,,,7:24,0.211,0.143,0.125,0.0,0.0,1.0,1.0,0.0,0.25,0.2,0.25,1.0,0.0,0.0,0.0,0.429,1.0,0.188
0021500030,1610612744,Golden State,Warriors,GSW,warriors,201575,Brandon,Rush,B. Rush,brandon-rush,,,,5:54,0.235,0.167,0.308,0.0,0.333,0.0,0.0,0.5,0.25,0.333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.143
0021500030,1610612744,Golden State,Warriors,GSW,warriors,203546,Ian,Clark,I. Clark,ian-clark,,,,4:36,0.231,0.2,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.5,0.25,0.0,0.182
0021500030,1610612745,Houston,Rockets,HOU,rockets,2772,Trevor,Ariza,T. Ariza,trevor-ariza,F,,,29:41,0.159,0.2,0.184,0.5,0.235,0.167,0.143,0.2,0.148,0.156,0.077,0.1,0.0,0.0,0.0,0.077,0.071,0.212
0021500030,1610612745,Houston,Rockets,HOU,rockets,203093,Terrence,Jones,T. Jones,terrence-jones,F,,,18:09,0.156,0.2,0.269,0.0,0.143,0.0,0.0,0.2,0.231,0.222,0.125,0.0,0.0,0.5,0.0,0.0,0.1,0.114
0021500030,1610612745,Houston,Rockets,HOU,rockets,2730,Dwight,Howard,D. Howard,dwight-howard,C,,,21:49,0.308,0.4,0.333,0.0,0.0,0.077,0.1,0.667,0.214,0.35,0.25,0.444,0.5,0.333,0.5,0.5,0.182,0.257
0021500030,1610612745,Houston,Rockets,HOU,rockets,201935,James,Harden,J. Harden,james-harden,G,,,37:00,0.289,0.211,0.29,0.25,0.5,0.35,0.296,0.2,0.161,0.171,0.385,0.267,0.5,0.143,0.333,0.143,0.353,0.258
0021500030,1610612745,Houston,Rockets,HOU,rockets,201951,Ty,Lawson,T. Lawson,ty-lawson,G,,,35:31,0.157,0.087,0.131,0.2,0.188,0.261,0.281,0.0,0.148,0.105,0.333,0.154,0.0,0.25,0.5,0.143,0.238,0.149
0021500030,1610612745,Houston,Rockets,HOU,rockets,203991,Clint,Capela,C. Capela,clint-capela,,,,17:45,0.143,0.214,0.121,0.0,0.0,0.167,0.167,0.333,0.412,0.4,0.1,0.333,0.0,0.5,0.0,0.25,0.125,0.189
