gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,usagePercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
0021500002,1610612741,Chicago,Bulls,CHI,bulls,202734,E'Twaun,Moore,E. Moore,etwaun-moore,,,,14:22,0.235,0.556,0.296,1.0,0.5,0.0,0.0,0.0,0.176,0.15,0.333,0.0,0.0,0.0,0.333,0.5,0.0,0.478
0021500002,1610612741,Chicago,Bulls,CHI,bulls,201959,Taj,Gibson,T. Gibson,taj-gibson,,,,22:06,0.148,0.071,0.075,0.0,0.0,0.333,0.333,0.4,0.364,0.37,0.0,0.5,0.0,0.6,0.0,0.5,0.222,0.128
0021500002,1610612741,Chicago,Bulls,CHI,bulls,203946,Cameron,Bairstow,C. Bairstow,cameron-bairstow,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500002,1610612741,Chicago,Bulls,CHI,bulls,2550,Kirk,Hinrich,K. Hinrich,kirk-hinrich,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500002,1610612741,Chicago,Bulls,CHI,bulls,1626171,Bobby,Portis,B. Portis,bobby-portis,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500001,1610612765,Detroit,Pistons,DET,pistons,202694,Marcus,Morris Sr.,M. Morris Sr.,marcus-morris-sr,F,,,37:05,0.22,0.2,0.247,0.111,0.19,0.25,0.231,0.238,0.179,0.204,0.25,0.0,0.0,0.0,0.0,0.125,0.15,0.202
0021500001,1610612765,Detroit,Pistons,DET,pistons,101141,Ersan,Ilyasova,E. Ilyasova,ersan-ilyasova,F,,,34:26,0.174,0.222,0.171,0.273,0.286,0.071,0.105,0.188,0.138,0.156,0.158,0.273,0.0,0.333,0.333,0.286,0.211,0.203
0021500001,1610612765,Detroit,Pistons,DET,pistons,203083,Andre,Drummond,A. Drummond,andre-drummond,C,,,37:09,0.23,0.194,0.208,0.0,0.0,0.3,0.385,0.381,0.379,0.38,0.176,0.222,0.25,0.667,0.25,0.444,0.4,0.196
0021500001,1610612765,Detroit,Pistons,DET,pistons,203484,Kentavious,Caldwell-Pope,K. Caldwell-Pope,kentavious-caldwell-pope,G,,,37:03,0.17,0.233,0.184,0.444,0.35,0.15,0.115,0.048,0.107,0.082,0.063,0.222,0.25,0.0,0.0,0.125,0.1,0.236
0021500001,1610612765,Detroit,Pistons,DET,pistons,202704,Reggie,Jackson,R. Jackson,reggie-jackson,G,,,32:07,0.165,0.148,0.154,0.222,0.211,0.278,0.208,0.063,0.269,0.19,0.313,0.286,0.5,0.0,0.0,0.0,0.278,0.185
