gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
0021500028,1610612751,Brooklyn,Nets,BKN,nets,201152,Thaddeus,Young,T. Young,thaddeus-young,F,,,28:25,4,11,0.364,1,2,0.5,0,3,0.0,2,5,7,0,0,0,1,2,9,-24.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,201572,Brook,Lopez,B. Lopez,brook-lopez,F,,,31:59,6,11,0.545,0,0,0.0,5,6,0.833,0,3,3,4,0,1,2,3,17,-23.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,201961,Wayne,Ellington,W. Ellington,wayne-ellington,G,,,18:16,1,6,0.167,1,4,0.25,0,0,0.0,0,1,1,0,2,0,0,2,3,-18.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,101127,Jarrett,Jack,J. Jack,jarrett-jack,G,,,26:57,5,13,0.385,2,3,0.667,0,0,0.0,0,6,6,7,1,0,2,0,12,-24.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203499,Shane,Larkin,S. Larkin,shane-larkin,F,,,16:26,3,5,0.6,0,0,0.0,1,2,0.5,0,0,0,4,0,1,1,0,7,1.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,202711,Bojan,Bogdanović,B. Bogdanović,bojan-bogdanović,C,,,19:34,3,6,0.5,0,2,0.0,0,2,0.0,0,4,4,0,0,0,2,1,6,-2.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,1626178,Rondae,Hollis-Jefferson,R. Hollis-Jefferson,rondae-hollis-jefferson,G,,,26:09,5,7,0.714,0,0,0.0,0,0,0.0,0,4,4,0,0,2,3,1,10,0.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,200745,Andrea,Bargnani,A. Bargnani,andrea-bargnani,G,,,16:18,2,4,0.5,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,5,-8.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203080,Thomas,Robinson,T. Robinson,thomas-robinson,G,,,15:20,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,0,0,2,1,1,2,3.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203900,Markel,Brown,M. Brown,markel-brown,,,,8:24,0,4,0.0,0,3,0.0,0,0,0.0,0,0,0,1,1,0,0,2,0,-14.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,202388,Donald,Sloan,D. Sloan,donald-sloan,,,,4:37,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-4.0
0021500028,1610612751,Brooklyn,Nets,BKN,nets,203508,Sergey,Karasev,S. Karasev,sergey-karasev,,,,2:21,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,0,2,0.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,202695,Kawhi,Leonard,K. Leonard,kawhi-leonard,G,,,25:47,6,16,0.375,0,2,0.0,4,4,1.0,1,9,10,1,2,1,4,3,16,16.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,200746,LaMarcus,Aldridge,L. Aldridge,lamarcus-aldridge,F,,,29:33,5,11,0.455,0,0,0.0,0,0,0.0,5,6,11,4,0,1,1,0,10,28.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,1495,Tim,Duncan,T. Duncan,tim-duncan,F,,,29:04,4,7,0.571,0,0,0.0,7,7,1.0,0,8,8,1,0,0,2,2,15,26.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,201980,Danny,Green,D. Green,danny-green,G,,,26:33,3,6,0.5,2,5,0.4,0,0,0.0,2,2,4,2,0,0,2,0,8,20.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2225,Tony,Parker,T. Parker,tony-parker,G,,,23:46,5,8,0.625,0,0,0.0,0,0,0.0,0,1,1,4,0,0,1,3,10,23.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,201988,Patty,Mills,P. Mills,patty-mills,G,,,18:24,4,6,0.667,3,5,0.6,0,0,0.0,1,2,3,3,0,0,0,0,11,-1.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,1938,Manu,Ginobili,M. Ginobili,manu-ginobili,F,,,21:37,5,12,0.417,2,6,0.333,0,0,0.0,0,5,5,4,1,1,1,0,12,16.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2564,Boris,Diaw,B. Diaw,boris-diaw,F,,,18:43,3,5,0.6,1,1,1.0,0,0,0.0,0,3,3,3,1,0,2,2,7,1.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,203937,Kyle,Anderson,K. Anderson,kyle-anderson,,,,10:53,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,1,0,3,0,3.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2561,David,West,D. West,david-west,F,,,14:03,1,4,0.25,0,0,0.0,0,0,0.0,0,3,3,0,0,0,2,2,2,-5.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,2446,Rasual,Butler,R. Butler,rasual-butler,G,,,11:10,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,3,-1.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,203492,Ray,McCallum,R. McCallum,ray-mccallum,,,,5:50,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,1,1,2,5.0
0021500028,1610612759,San Antonio,Spurs,SAS,spurs,1626246,Boban,Marjanović,B. Marjanović,boban-marjanović,,,,4:37,2,5,0.4,0,0,0.0,2,2,1.0,3,2,5,1,0,0,2,0,6,4.0
