date,home_team,away_team,home_score,away_score,home_odds,away_odds,url,sport,tournament,season,handicap,comment
2018-06-09,Cleveland Cavaliers,Golden State Warriors,85,108,2.43,1.60,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-golden-state-warriors-QoC4sAGp/,nba,NBA,2017/2018,"{""216.5"": {""label"": 216.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-06-07,Cleveland Cavaliers,Golden State Warriors,102,110,2.24,1.67,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-golden-state-warriors-AygzaxnI/,nba,NBA,2017/2018,"{""215.5"": {""label"": 215.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-06-04,Golden State Warriors,Cleveland Cavaliers,,122,1.17,5.23,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-cleveland-cavaliers-WpfWaIWB/,nba,NBA,2017/2018,"{""216.5"": {""label"": 216.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-06-01,Golden State Warriors,Cleveland Cavaliers,,124,1.10,7.40,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-cleveland-cavaliers-xOfS0bH5/,nba,NBA,2017/2018,"{""217.5"": {""label"": 217.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-29,Houston Rockets,Golden State Warriors,92,101,3.33,1.34,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-WnHbBvHk/,nba,NBA,2017/2018,"{""208.5"": {""label"": 208.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-28,Boston Celtics,Cleveland Cavaliers,79,87,1.67,2.26,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-zwgmmRv8/,nba,NBA,2017/2018,"{""196.5"": {""label"": 196.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""197.5"": {""label"": 197.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-27,Golden State Warriors,Houston Rockets,,115,1.10,7.65,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-fPfCQ1oq/,nba,NBA,2017/2018,"{""213.5"": {""label"": 213.5, ""odds_over"": 1.91, ""odds_under"": 1.91}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-26,Cleveland Cavaliers,Boston Celtics,,109,1.29,3.68,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-bRtjuNvg/,nba,NBA,2017/2018,"{""200.5"": {""label"": 200.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""201.5"": {""label"": 201.5, ""odds_over"": 1.93, ""odds_under"": 1.89}}",
2018-05-25,Houston Rockets,Golden State Warriors,,98,1.96,1.86,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-KO5x8SrK/,nba,NBA,2017/2018,"{""219.5"": {""label"": 219.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-24,Boston Celtics,Cleveland Cavaliers,,96,1.81,2.04,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-j9gaPs46/,nba,NBA,2017/2018,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""205.5"": {""label"": 205.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2018-05-23,Golden State Warriors,Houston Rockets,92,95,1.24,4.25,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-x2JYiEgq/,nba,NBA,2017/2018,"{""226.5"": {""label"": 226.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-22,Cleveland Cavaliers,Boston Celtics,,111,1.30,3.68,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-67xMF4Yq/,nba,NBA,2017/2018,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""205.5"": {""label"": 205.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.91, ""odds_under"": 1.9}}",
2018-05-21,Golden State Warriors,Houston Rockets,,126,1.27,3.88,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-KMW6dfoS/,nba,NBA,2017/2018,"{""225.5"": {""label"": 225.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""226.5"": {""label"": 226.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-20,Cleveland Cavaliers,Boston Celtics,,116,1.33,3.40,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-4bjfKpQS/,nba,NBA,2017/2018,"{""207.5"": {""label"": 207.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-17,Houston Rockets,Golden State Warriors,,127,1.79,2.05,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-tWX2czWL/,nba,NBA,2017/2018,"{""224.5"": {""label"": 224.5, ""odds_over"": 1.89, ""odds_under"": 1.93}}",
2018-05-16,Boston Celtics,Cleveland Cavaliers,,107,1.89,1.93,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-nNekLQAM/,nba,NBA,2017/2018,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-15,Houston Rockets,Golden State Warriors,106,119,1.75,2.11,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-p4vfad19/,nba,NBA,2017/2018,"{""225.5"": {""label"": 225.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-13,Boston Celtics,Cleveland Cavaliers,,108,1.97,1.85,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-8WdoM6eG/,nba,NBA,2017/2018,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-10,Boston Celtics,Philadelphia 76ers,,114,1.79,2.05,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-philadelphia-76ers-bZK8ZYFQ/,nba,NBA,2017/2018,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""205.5"": {""label"": 205.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2018-05-09,Golden State Warriors,New Orleans Pelicans,,113,1.11,7.08,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-new-orleans-pelicans-renlwW5J/,nba,NBA,2017/2018,"{""225.5"": {""label"": 225.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""226.5"": {""label"": 226.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""227.5"": {""label"": 227.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""228.5"": {""label"": 228.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""229.5"": {""label"": 229.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2018-05-09,Houston Rockets,Utah Jazz,,112,1.10,7.63,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-utah-jazz-Q942gje8/,nba,NBA,2017/2018,"{""207.5"": {""label"": 207.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-08,Cleveland Cavaliers,Toronto Raptors,,128,1.45,2.78,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-toronto-raptors-EqE2Udd5/,nba,NBA,2017/2018,"{""212.5"": {""label"": 212.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""213.5"": {""label"": 213.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2018-05-08,Philadelphia 76ers,Boston Celtics,76,103,1.32,3.53,https://www.oddsportal.com/basketball/usa/nba-2017-2018/philadelphia-76ers-boston-celtics-UNQLf5Dq/,nba,NBA,2017/2018,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""205.5"": {""label"": 205.5, ""odds_over"": 1.9, ""odds_under"": 1.92}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-07,Utah Jazz,Houston Rockets,87,100,3.30,1.35,https://www.oddsportal.com/basketball/usa/nba-2017-2018/utah-jazz-houston-rockets-Otlgao5S/,nba,NBA,2017/2018,"{""210.5"": {""label"": 210.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-06,New Orleans Pelicans,Golden State Warriors,92,118,3.22,1.36,https://www.oddsportal.com/basketball/usa/nba-2017-2018/new-orleans-pelicans-golden-state-warriors-Iqoo17zG/,nba,NBA,2017/2018,"{""231.5"": {""label"": 231.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-06,Cleveland Cavaliers,Toronto Raptors,,105,1.50,2.68,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-toronto-raptors-zgFbVxsa/,nba,NBA,2017/2018,"{""214.5"": {""label"": 214.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-05,Philadelphia 76ers,Boston Celtics,98,101,1.20,4.73,https://www.oddsportal.com/basketball/usa/nba-2017-2018/philadelphia-76ers-boston-celtics-C6pk0RkM/,nba,NBA,2017/2018,"{""206.5"": {""label"": 206.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-05,Utah Jazz,Houston Rockets,92,113,2.73,1.48,https://www.oddsportal.com/basketball/usa/nba-2017-2018/utah-jazz-houston-rockets-vgns2mL9/,nba,NBA,2017/2018,"{""209.5"": {""label"": 209.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-05,New Orleans Pelicans,Golden State Warriors,,119,2.83,1.44,https://www.oddsportal.com/basketball/usa/nba-2017-2018/new-orleans-pelicans-golden-state-warriors-rRhY39jc/,nba,NBA,2017/2018,"{""233.5"": {""label"": 233.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-04,Boston Celtics,Philadelphia 76ers,,108,2.50,1.56,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-philadelphia-76ers-MHix3T53/,nba,NBA,2017/2018,"{""205.5"": {""label"": 205.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-04,Toronto Raptors,Cleveland Cavaliers,110,128,1.34,3.38,https://www.oddsportal.com/basketball/usa/nba-2017-2018/toronto-raptors-cleveland-cavaliers-hUPgWIRh/,nba,NBA,2017/2018,"{""212.5"": {""label"": 212.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""213.5"": {""label"": 213.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-03,Houston Rockets,Utah Jazz,108,116,1.11,7.15,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-utah-jazz-UN4juQDd/,nba,NBA,2017/2018,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-05-02,Golden State Warriors,New Orleans Pelicans,,121,1.12,6.50,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-new-orleans-pelicans-dvYCntjQ/,nba,NBA,2017/2018,"{""228.5"": {""label"": 228.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2018-05-02,Toronto Raptors,Cleveland Cavaliers,112,113,1.35,3.28,https://www.oddsportal.com/basketball/usa/nba-2017-2018/toronto-raptors-cleveland-cavaliers-vRLkXbCn/,nba,NBA,2017/2018,"{""213.5"": {""label"": 213.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2018-05-01,Boston Celtics,Philadelphia 76ers,,117,2.75,1.46,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-philadelphia-76ers-GK0nt6bj/,nba,NBA,2017/2018,"{""205.5"": {""label"": 205.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-29,Houston Rockets,Utah Jazz,,110,1.10,7.63,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-utah-jazz-2HY8mMzK/,nba,NBA,2017/2018,"{""206.5"": {""label"": 206.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2018-04-29,Cleveland Cavaliers,Indiana Pacers,,105,1.38,3.10,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-indiana-pacers-hA195uvF/,nba,NBA,2017/2018,"{""199.5"": {""label"": 199.5, ""odds_over"": 1.91, ""odds_under"": 1.91}, ""200.5"": {""label"": 200.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-29,Golden State Warriors,New Orleans Pelicans,,123,1.27,3.85,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-new-orleans-pelicans-dO3EsvOJ/,nba,NBA,2017/2018,"{""222.5"": {""label"": 222.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""223.5"": {""label"": 223.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""225.5"": {""label"": 225.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-29,Boston Celtics,Milwaukee Bucks,,112,1.48,2.70,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-milwaukee-bucks-YFRyGIBe/,nba,NBA,2017/2018,"{""195.5"": {""label"": 195.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""196.5"": {""label"": 196.5, ""odds_over"": 1.89, ""odds_under"": 1.93}}",
2018-04-28,Utah Jazz,Oklahoma City Thunder,,96,1.33,3.40,https://www.oddsportal.com/basketball/usa/nba-2017-2018/utah-jazz-oklahoma-city-thunder-WzPwyij5/,nba,NBA,2017/2018,"{""206.5"": {""label"": 206.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""207.5"": {""label"": 207.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2018-04-28,Indiana Pacers,Cleveland Cavaliers,,121,1.77,2.08,https://www.oddsportal.com/basketball/usa/nba-2017-2018/indiana-pacers-cleveland-cavaliers-lOwYzWGt/,nba,NBA,2017/2018,"{""201.5"": {""label"": 201.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2018-04-28,Washington Wizards,Toronto Raptors,92,102,2.14,1.73,https://www.oddsportal.com/basketball/usa/nba-2017-2018/washington-wizards-toronto-raptors-QBNMTE9D/,nba,NBA,2017/2018,"{""214.5"": {""label"": 214.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-27,Milwaukee Bucks,Boston Celtics,,97,1.47,2.73,https://www.oddsportal.com/basketball/usa/nba-2017-2018/milwaukee-bucks-boston-celtics-f9jFgsSq/,nba,NBA,2017/2018,"{""200.5"": {""label"": 200.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2018-04-26,Houston Rockets,Minnesota Timberwolves,,122,1.09,8.15,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-minnesota-timberwolves-W6eRqN5l/,nba,NBA,2017/2018,"{""216.5"": {""label"": 216.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""217.5"": {""label"": 217.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-26,Oklahoma City Thunder,Utah Jazz,,107,1.67,2.25,https://www.oddsportal.com/basketball/usa/nba-2017-2018/oklahoma-city-thunder-utah-jazz-fquZX0zB/,nba,NBA,2017/2018,"{""207.5"": {""label"": 207.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-26,Cleveland Cavaliers,Indiana Pacers,,98,1.33,3.43,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-indiana-pacers-nJyRZM5b/,nba,NBA,2017/2018,"{""205.5"": {""label"": 205.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-26,Toronto Raptors,Washington Wizards,,108,1.31,3.58,https://www.oddsportal.com/basketball/usa/nba-2017-2018/toronto-raptors-washington-wizards-Gjk11E2m/,nba,NBA,2017/2018,"{""215.5"": {""label"": 215.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""216.5"": {""label"": 216.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-25,Golden State Warriors,San Antonio Spurs,,99,1.11,7.20,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-san-antonio-spurs-jgV9WGPf/,nba,NBA,2017/2018,"{""203.5"": {""label"": 203.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2018-04-25,Philadelphia 76ers,Miami Heat,76,104,1.14,5.95,https://www.oddsportal.com/basketball/usa/nba-2017-2018/philadelphia-76ers-miami-heat-jkm4roMj/,nba,NBA,2017/2018,"{""215.5"": {""label"": 215.5, ""odds_over"": 1.92, ""odds_under"": 1.89}}",
