gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000030,1610612758,Sacramento,Kings,SAC,kings,1628963,Marvin,Bagley III,M. Bagley III,marvin-bagley-iii,F,,,20:42,93.6,93.6,102.2,102.2,-8.6,-8.6,0.091,0.33,5.9,0.25,0.2,0.224,17.6,0.5,0.497,0.291,0.291,107.83,107.83,89.86,47.0,0.102
0022000030,1610612758,Sacramento,Kings,SAC,kings,1626158,Richaun,Holmes,R. Holmes,richaun-holmes,C,,,24:02,98.1,98.1,100.0,100.0,-1.9,-1.9,0.071,0.25,8.3,0.1,0.231,0.161,33.3,0.6,0.764,0.172,0.172,107.85,107.85,89.88,54.0,0.127
0022000030,1610612758,Sacramento,Kings,SAC,kings,1627741,Buddy,Hield,B. Hield,buddy-hield,G,,,34:41,97.4,97.4,97.4,97.4,0.0,0.0,0.0,0.0,0.0,0.024,0.07,0.047,5.6,0.357,0.421,0.198,0.198,105.87,105.87,88.22,77.0,0.022
0022000030,1610612758,Sacramento,Kings,SAC,kings,1628368,De'Aaron,Fox,D. Fox,deaaron-fox,G,,,34:54,104.0,104.0,105.2,105.2,-1.2,-1.2,0.333,1.4,23.3,0.027,0.071,0.051,16.7,0.607,0.685,0.267,0.267,104.53,104.53,87.11,75.0,0.171
0022000030,1610612758,Sacramento,Kings,SAC,kings,202709,Cory,Joseph,C. Joseph,cory-joseph,,,,19:08,102.3,102.3,104.5,104.5,-2.2,-2.2,0.063,1.0,9.1,0.0,0.125,0.068,9.1,0.125,0.169,0.2,0.2,109.11,109.11,90.92,43.0,-0.05
0022000030,1610612758,Sacramento,Kings,SAC,kings,202355,Hassan,Whiteside,H. Whiteside,hassan-whiteside,,,,15:16,109.4,109.4,94.1,94.1,15.3,15.3,0.083,1.0,12.5,0.167,0.3,0.25,12.5,0.8,0.68,0.2,0.2,103.76,103.76,86.46,32.0,0.203
0022000030,1610612758,Sacramento,Kings,SAC,kings,202357,Nemanja,Bjelica,N. Bjelica,nemanja-bjelica,,,,15:39,105.9,105.9,82.4,82.4,23.5,23.5,0.2,0.0,22.2,0.071,0.0,0.03,0.0,0.833,0.872,0.184,0.184,104.29,104.29,86.91,34.0,0.216
0022000030,1610612758,Sacramento,Kings,SAC,kings,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,,,,26:09,109.3,109.3,96.4,96.4,12.9,12.9,0.217,5.0,50.0,0.0,0.065,0.036,10.0,0.25,0.25,0.082,0.082,100.05,100.05,83.38,54.0,0.036
0022000030,1610612758,Sacramento,Kings,SAC,kings,203922,Glenn,Robinson III,G. Robinson III,glenn-robinson-iii,,,,15:21,96.7,96.7,80.6,80.6,16.0,16.0,0.0,0.0,0.0,0.0,0.167,0.086,0.0,0.667,0.667,0.162,0.162,95.37,95.37,79.48,30.0,0.213
0022000030,1610612758,Sacramento,Kings,SAC,kings,1629657,Kyle,Guy,K. Guy,kyle-guy,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,1629713,Justin,James,J. James,justin-james,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,1629002,Chimezie,Metu,C. Metu,chimezie-metu,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,203953,Jabari,Parker,J. Parker,jabari-parker,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,1630218,Robert,Woodard II,R. Woodard II,robert-woodard-ii,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
