date,game_id,team,odds,prob,ev,stake,won,gain,bankroll
2022-10-24,22200048.0,utah jazz,1.68,0.6883407531018787,0.15641246521115626,20.0,0,-20.0,980.0
2022-10-24,22200049.0,memphis grizzlies,1.8,0.6951245565432876,0.2512242017779178,19.6,1,15.680000000000001,995.68
2022-10-28,22200077.0,san antonio spurs,2.35,0.6170995918642228,0.4501840408809237,19.9136,1,26.88336,1022.56336
2022-10-31,22200096.0,charlotte hornets,2.25,0.7322579519235113,0.6475803918279004,20.4512672,0,-20.4512672,1002.1120928
2022-11-01,22200106.0,phoenix suns,1.54,0.7643276886567464,0.17706464053138937,20.042241856,1,10.82281060224,1012.93490340224
2022-11-04,22200126.0,san antonio spurs,2.25,0.5308548889926594,0.19442350023348376,20.2586980680448,0,-20.2586980680448,992.6762053341952
2022-11-04,22200131.0,utah jazz,2.23,0.6145566873124192,0.37046141270669475,19.853524106683903,1,24.4198346512212,1017.0960399854164
2022-11-05,22200133.0,charlotte hornets,2.26,0.5861418083062879,0.3246804867722106,20.34192079970833,0,-20.34192079970833,996.7541191857081
2022-11-05,22200136.0,milwaukee bucks,1.41,0.8244242736107636,0.16243822579117673,19.93508238371416,1,8.173383777322805,1004.9275029630309
2022-11-07,22200152.0,memphis grizzlies,2.23,0.6049532111905053,0.3490456609548267,20.098550059260617,0,-20.098550059260617,984.8289529037702
2022-11-09,22200167.0,phoenix suns,1.98,0.603589279144335,0.19510677270578336,19.696579058075404,1,19.302647476913897,1004.1316003806841
2022-11-09,22200168.0,milwaukee bucks,1.81,0.6900889947625237,0.24906108052016807,20.082632007613682,1,16.266931926167082,1020.3985323068512
2022-11-09,22200171.0,sacramento kings,2.38,0.504601397979165,0.20095132719041264,20.407970646137024,1,28.16299949166909,1048.5615317985203
2022-11-11,22200180.0,milwaukee bucks,1.97,0.6382997552019516,0.25745051774784455,20.971230635970407,0,-20.971230635970407,1027.5903011625498
2022-11-13,22200193.0,cleveland cavaliers,1.79,0.7070034685215677,0.26553620865360616,20.551806023250997,0,-20.551806023250997,1007.0384951392989
2022-11-15,22200208.0,utah jazz,1.49,0.7762984520036398,0.15668469348542335,20.14076990278598,0,-20.14076990278598,986.8977252365129
2022-11-16,22200216.0,milwaukee bucks,1.68,0.7344630114477756,0.23389785923226292,19.737954504730258,1,13.421809063216575,1000.3195342997294
2022-11-16,22200217.0,new orleans pelicans,1.73,0.6801537050212823,0.1766659096868184,20.00639068599459,1,14.604665200776049,1014.9241995005054
2022-11-16,22200219.0,denver nuggets,1.7,0.6917336923291343,0.17594727695952828,20.29848399001011,0,-20.29848399001011,994.6257155104953
2022-11-16,22200220.0,phoenix suns,2.04,0.7103403999664105,0.4490944159314776,19.892514310209908,1,20.688214882618304,1015.3139303931137
2022-11-19,22200237.0,philadelphia 76ers,2.18,0.6797659080394483,0.48188967952599726,20.306278607862275,0,-20.306278607862275,995.0076517852514
2022-11-19,22200238.0,utah jazz,2.32,0.5312793181037969,0.23256801800080873,19.900153035705028,1,26.268202007130633,1021.275853792382
2022-11-23,22200260.0,philadelphia 76ers,2.26,0.6145281078611046,0.38883352376609626,20.42551707584764,0,-20.42551707584764,1000.8503367165343
2022-11-23,22200266.0,toronto raptors,2.04,0.616495488406837,0.2576507963499475,20.01700673433069,0,-20.01700673433069,980.8333299822036
2022-11-25,22200273.0,philadelphia 76ers,1.9,0.6838587775311183,0.2993316773091248,19.616666599644073,1,17.654999939679666,998.4883299218833
2022-11-25,22200285.0,los angeles clippers,2.29,0.5636642717389508,0.29079118228219736,19.969766598437666,0,-19.969766598437666,978.5185633234456
2022-11-27,22200292.0,los angeles clippers,2.0,0.6602392620630079,0.32047852412601574,19.570371266468914,1,19.570371266468914,998.0889345899145
2022-11-27,22200297.0,philadelphia 76ers,1.83,0.6700224421275486,0.22614106909341403,19.96177869179829,1,16.568276314192584,1014.657210904107
2022-11-28,22200304.0,new orleans pelicans,1.42,0.8297741292678495,0.1782792635603463,20.29314421808214,1,8.523120571594498,1023.1803314757016
2022-11-28,22200306.0,utah jazz,1.69,0.7427794869743749,0.25529733298669344,20.463606629514032,0,-20.463606629514032,1002.7167248461875
2022-11-29,22200311.0,los angeles clippers,2.32,0.5061221994211743,0.17420350265712425,20.05433449692375,1,26.47172153593935,1029.1884463821268
2022-11-30,22200318.0,new orleans pelicans,2.06,0.6726727272787365,0.38570581819419725,20.583768927642538,1,21.818795063301092,1051.007241445428
2022-12-02,22200327.0,atlanta hawks,2.36,0.5537135582068758,0.306763997368227,21.02014482890856,1,28.587396967315637,1079.5946384127437
