gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,effectiveFieldGoalPercentage,freeThrowAttemptRate,teamTurnoverPercentage,offensiveReboundPercentage,oppEffectiveFieldGoalPercentage,oppFreeThrowAttemptRate,oppTeamTurnoverPercentage,oppOffensiveReboundPercentage
0022000030,1610612756,Phoenix,Suns,PHX,suns,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,25,26:49,0.472,0.185,0.099,0.031,0.438,0.479,0.216,0.367
0022000030,1610612756,Phoenix,Suns,PHX,suns,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,99,32:44,0.477,0.167,0.111,0.025,0.465,0.456,0.173,0.324
0022000030,1610612756,Phoenix,Suns,PHX,suns,1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,22,29:56,0.543,0.172,0.148,0.125,0.459,0.51,0.235,0.276
0022000030,1610612756,Phoenix,Suns,PHX,suns,1626164,Devin,Booker,D. Booker,devin-booker,G,,1,38:15,0.494,0.141,0.13,0.0,0.456,0.441,0.17,0.325
0022000030,1610612756,Phoenix,Suns,PHX,suns,101108,Chris,Paul,C. Paul,chris-paul,G,,3,32:47,0.469,0.203,0.12,0.026,0.449,0.424,0.203,0.314
0022000030,1610612756,Phoenix,Suns,PHX,suns,1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,23,25:03,0.449,0.102,0.134,0.033,0.543,0.261,0.115,0.278
0022000030,1610612756,Phoenix,Suns,PHX,suns,1627745,Damian,Jones,D. Jones,damian-jones,,,30,15:27,0.429,0.029,0.031,0.0,0.6,0.267,0.063,0.4
0022000030,1610612756,Phoenix,Suns,PHX,suns,1626166,Cameron,Payne,C. Payne,cameron-payne,,,15,15:13,0.485,0.0,0.067,0.0,0.556,0.296,0.102,0.4
0022000030,1610612756,Phoenix,Suns,PHX,suns,1630188,Jalen,Smith,J. Smith,jalen-smith,,,10,4:05,0.591,0.0,0.1,0.4,0.625,0.0,0.111,0.0
0022000030,1610612756,Phoenix,Suns,PHX,suns,1628975,Jevon,Carter,J. Carter,jevon-carter,,,4,7:18,0.4,0.133,0.0,0.0,0.583,0.25,0.245,0.333
0022000030,1610612756,Phoenix,Suns,PHX,suns,204038,Langston,Galloway,L. Galloway,langston-galloway,,,2,9:46,0.452,0.0,0.0,0.0,0.474,0.263,0.189,0.444
0022000030,1610612756,Phoenix,Suns,PHX,suns,1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,8,2:37,0.0,0.4,0.0,0.0,0.143,0.0,0.0,0.5
0022000030,1610612756,Phoenix,Suns,PHX,suns,1630234,Ty-Shon,Alexander,T. Alexander,ty-shon-alexander,,DNP - Coach's Decision,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612756,Phoenix,Suns,PHX,suns,202734,E'Twaun,Moore,E. Moore,etwaun-moore,,DNP - Coach's Decision,55,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612756,Phoenix,Suns,PHX,suns,203967,Dario,Šarić,D. Šarić,dario-šarić,,DNP - Injury/Illness,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,40,34:08,0.46,0.435,0.174,0.025,0.479,0.157,0.105,0.184
0022000030,1610612758,Sacramento,Kings,SAC,kings,1628963,Marvin,Bagley III,M. Bagley III,marvin-bagley-iii,F,,35,20:42,0.486,0.389,0.26,0.25,0.523,0.068,0.11,0.208
0022000030,1610612758,Sacramento,Kings,SAC,kings,1626158,Richaun,Holmes,R. Holmes,richaun-holmes,C,,22,24:02,0.453,0.465,0.174,0.1,0.533,0.2,0.146,0.087
0022000030,1610612758,Sacramento,Kings,SAC,kings,1627741,Buddy,Hield,B. Hield,buddy-hield,G,,24,34:41,0.427,0.468,0.193,0.024,0.472,0.141,0.105,0.179
0022000030,1610612758,Sacramento,Kings,SAC,kings,1628368,De'Aaron,Fox,D. Fox,deaaron-fox,G,,5,34:54,0.5,0.393,0.161,0.027,0.493,0.181,0.127,0.257
0022000030,1610612758,Sacramento,Kings,SAC,kings,202709,Cory,Joseph,C. Joseph,cory-joseph,,,9,19:08,0.472,0.389,0.166,0.0,0.5,0.068,0.046,0.19
0022000030,1610612758,Sacramento,Kings,SAC,kings,202355,Hassan,Whiteside,H. Whiteside,hassan-whiteside,,,20,15:16,0.593,0.222,0.131,0.167,0.424,0.121,0.089,0.235
0022000030,1610612758,Sacramento,Kings,SAC,kings,202357,Nemanja,Bjelica,N. Bjelica,nemanja-bjelica,,,8,15:39,0.536,0.357,0.145,0.071,0.419,0.065,0.094,0.2
0022000030,1610612758,Sacramento,Kings,SAC,kings,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,,,0,26:09,0.532,0.277,0.146,0.0,0.472,0.037,0.095,0.259
0022000030,1610612758,Sacramento,Kings,SAC,kings,203922,Glenn,Robinson III,G. Robinson III,glenn-robinson-iii,,,30,15:21,0.429,0.286,0.164,0.0,0.327,0.308,0.098,0.125
0022000030,1610612758,Sacramento,Kings,SAC,kings,1629657,Kyle,Guy,K. Guy,kyle-guy,,DNP - Coach's Decision,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,1629713,Justin,James,J. James,justin-james,,DNP - Coach's Decision,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,1629002,Chimezie,Metu,C. Metu,chimezie-metu,,DNP - Coach's Decision,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,203953,Jabari,Parker,J. Parker,jabari-parker,,DNP - Coach's Decision,33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,1630218,Robert,Woodard II,R. Woodard II,robert-woodard-ii,,DNP - Coach's Decision,13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629006,Josh,Okogie,J. Okogie,josh-okogie,F,,20,31:33,0.492,0.106,0.116,0.079,0.475,0.39,0.139,0.28
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1627774,Jake,Layman,J. Layman,jake-layman,F,,10,13:36,0.417,0.033,0.102,0.0,0.438,0.292,0.166,0.182
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1626157,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,C,,32,29:54,0.477,0.182,0.117,0.079,0.426,0.407,0.175,0.259
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1627736,Malik,Beasley,M. Beasley,malik-beasley,G,,5,38:42,0.512,0.141,0.102,0.042,0.451,0.38,0.176,0.235
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1626156,D'Angelo,Russell,D. Russell,dangelo-russell,G,,0,34:11,0.451,0.167,0.093,0.0,0.428,0.42,0.165,0.471
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629633,Jarrett,Culver,J. Culver,jarrett-culver,,,23,19:45,0.5,0.262,0.047,0.115,0.357,0.333,0.233,0.48
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630162,Anthony,Edwards,A. Edwards,anthony-edwards,,,1,22:20,0.581,0.302,0.103,0.0,0.402,0.435,0.164,0.538
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,201937,Ricky,Rubio,R. Rubio,ricky-rubio,,,9,26:42,0.589,0.25,0.079,0.0,0.474,0.368,0.174,0.467
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629675,Naz,Reid,N. Reid,naz-reid,,,11,17:35,0.544,0.176,0.053,0.0,0.474,0.395,0.155,0.6
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1627823,Juancho,Hernangomez,J. Hernangomez,juancho-hernangomez,,,41,5:15,0.6,0.2,0.092,0.167,0.389,0.778,0.248,1.0
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,202334,Ed,Davis,E. Davis,ed-davis,,,17,0:28,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630183,Jaden,McDaniels,J. McDaniels,jaden-mcdaniels,,DNP - Coach's Decision,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629020,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,DNP - Coach's Decision,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612762,Utah,Jazz,UTA,jazz,202711,Bojan,Bogdanovic,B. Bogdanovic,bojan-bogdanovic,F,,44,34:03,0.466,0.424,0.182,0.083,0.535,0.113,0.095,0.25
0022000028,1610612762,Utah,Jazz,UTA,jazz,1626220,Royce,O'Neale,R. O'Neale,royce-oneale,F,,23,34:08,0.444,0.387,0.17,0.075,0.506,0.154,0.065,0.297
0022000028,1610612762,Utah,Jazz,UTA,jazz,203497,Rudy,Gobert,R. Gobert,rudy-gobert,C,,27,29:03,0.458,0.333,0.152,0.2,0.509,0.138,0.122,0.143
0022000028,1610612762,Utah,Jazz,UTA,jazz,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,G,,45,37:16,0.447,0.347,0.157,0.021,0.47,0.193,0.091,0.238
0022000028,1610612762,Utah,Jazz,UTA,jazz,201144,Mike,Conley,M. Conley,mike-conley,G,,10,33:33,0.461,0.344,0.17,0.0,0.493,0.06,0.125,0.194
0022000028,1610612762,Utah,Jazz,UTA,jazz,204060,Joe,Ingles,J. Ingles,joe-ingles,,,2,25:53,0.356,0.442,0.22,0.027,0.547,0.321,0.07,0.259
0022000028,1610612762,Utah,Jazz,UTA,jazz,202324,Derrick,Favors,D. Favors,derrick-favors,,,15,17:57,0.422,0.531,0.193,0.087,0.475,0.25,0.052,0.364
0022000028,1610612762,Utah,Jazz,UTA,jazz,203903,Jordan,Clarkson,J. Clarkson,jordan-clarkson,,,00,23:05,0.413,0.481,0.132,0.029,0.544,0.244,0.118,0.208
