GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0020200164,1610612758,SAC,Sacramento,978,Peja Stojakovic,Peja,F,,27:31,5.0,12.0,0.417,2.0,4.0,0.5,4.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,16.0,-1.0
0020200164,1610612758,SAC,Sacramento,185,Chris Webber,Chris,G,,39:47,9.0,21.0,0.429,0.0,0.0,0.0,1.0,3.0,0.333,3.0,4.0,7.0,5.0,3.0,0.0,2.0,4.0,19.0,6.0
0020200164,1610612758,SAC,Sacramento,124,Vlade Divac,Vlade,G,,35:13,2.0,9.0,0.222,0.0,1.0,0.0,3.0,4.0,0.75,3.0,7.0,10.0,3.0,1.0,1.0,2.0,3.0,7.0,3.0
0020200164,1610612758,SAC,Sacramento,1517,Bobby Jackson,Bobby,G,,36:39,8.0,21.0,0.381,0.0,5.0,0.0,3.0,3.0,1.0,3.0,4.0,7.0,2.0,0.0,0.0,3.0,1.0,19.0,-8.0
0020200164,1610612758,SAC,Sacramento,57,Doug Christie,Doug,G,,44:54,5.0,15.0,0.333,2.0,4.0,0.5,0.0,1.0,0.0,4.0,4.0,8.0,9.0,2.0,0.0,4.0,1.0,12.0,9.0
0020200164,1610612758,SAC,Sacramento,1721,Keon Clark,Keon,G,,20:53,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,1.0,1.0,0.0,4.0,6.0,-3.0
0020200164,1610612758,SAC,Sacramento,2045,Hedo Turkoglu,Hedo,F,,23:04,5.0,8.0,0.625,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,11.0,3.0
0020200164,1610612758,SAC,Sacramento,1800,Damon Jones,Damon,G,,11:59,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,11.0
0020200164,1610612758,SAC,Sacramento,2522,,,, ,,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,1248,,,, ,,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,1249,,,, ,,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,1322,,,, ,,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,1328,,,, ,,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,2043,Mateen Cleaves,Mateen,,DND - Left foot surgery.,,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,1444,Lawrence Funderburke,Lawrence,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,1513,Scot Pollard,Scot,,"DND - Stress fracture, lower back.",,,,,,,,,,,,,,,,,,,,
0020200164,1610612758,SAC,Sacramento,2222,Gerald Wallace,Gerald,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0020200164,1610612746,LAC,Los Angeles,1894,Corey Maggette,Corey,G,,38:55,11.0,17.0,0.647,2.0,5.0,0.4,6.0,7.0,0.857,2.0,4.0,6.0,3.0,2.0,0.0,3.0,2.0,30.0,-12.0
0020200164,1610612746,LAC,Los Angeles,1882,Elton Brand,Elton,G,,40:32,8.0,15.0,0.533,0.0,0.0,0.0,5.0,5.0,1.0,2.0,8.0,10.0,5.0,2.0,4.0,1.0,3.0,21.0,-3.0
0020200164,1610612746,LAC,Los Angeles,1709,Michael Olowokandi,Michael,G,,43:04,4.0,14.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,2.0,0.0,5.0,1.0,3.0,8.0,-3.0
0020200164,1610612746,LAC,Los Angeles,1889,Andre Miller,Andre,G,,32:32,5.0,10.0,0.5,0.0,1.0,0.0,1.0,4.0,0.25,1.0,5.0,6.0,7.0,2.0,0.0,6.0,3.0,11.0,-3.0
0020200164,1610612746,LAC,Los Angeles,15,Eric Piatkowski,Eric,G,,26:46,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,-6.0
0020200164,1610612746,LAC,Los Angeles,2060,Marko Jaric,Marko,F,,21:21,1.0,7.0,0.143,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,3.0,0.0
0020200164,1610612746,LAC,Los Angeles,2039,Keyon Dooling,Keyon,F,,17:43,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,9.0,-4.0
