GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0020200312,1610612743,DEN,Denver,1763,Ryan Bowen,Ryan,F,,13:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0
0020200312,1610612743,DEN,Denver,436,Juwan Howard,Juwan,F,,37:13,10.0,22.0,0.455,0.0,0.0,0.0,2.0,4.0,0.5,3.0,4.0,7.0,2.0,1.0,0.0,2.0,3.0,22.0,-9.0
0020200312,1610612743,DEN,Denver,1548,Mark Blount,Mark,G,,13:27,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,-12.0
0020200312,1610612743,DEN,Denver,43,Chris Whitney,Chris,G,,32:36,3.0,11.0,0.273,1.0,6.0,0.167,2.0,2.0,1.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,1.0,9.0,-3.0
0020200312,1610612743,DEN,Denver,1899,James Posey,James,G,,33:42,6.0,14.0,0.429,1.0,3.0,0.333,1.0,1.0,1.0,3.0,3.0,6.0,6.0,2.0,0.0,3.0,3.0,14.0,-6.0
0020200312,1610612743,DEN,Denver,2051,Donnell Harvey,Donnell,G,,27:55,11.0,15.0,0.733,0.0,0.0,0.0,1.0,2.0,0.5,1.0,7.0,8.0,0.0,2.0,1.0,1.0,3.0,23.0,5.0
0020200312,1610612743,DEN,Denver,2403,Nene Hilario,Nene,G,,26:19,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,3.0,0.0,1.0,4.0,4.0,6.0
0020200312,1610612743,DEN,Denver,2428,Vincent Yarbrough,Vincent,F,,7:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
0020200312,1610612743,DEN,Denver,2454,Junior Harrington,Junior,F,,11:38,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,11.0,3.0
0020200312,1610612743,DEN,Denver,2401,Nikoloz Tskitishvili,Nikoloz,G,,20:12,2.0,9.0,0.222,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,4.0,9.0
